Assembly Accession	CheckM contamination	CheckM completeness	Assembly Stats Total Sequence Length
GCF_000532415.1	0.39	98.87	2940747
GCF_000362805.1	0.39	98.87	2990757
GCF_000532635.1	0.39	98.81	2861579
GCF_000362825.1	0.39	98.28	2944185
GCF_000532655.1	0.39	98.81	2918556
GCF_000362845.1	1.04	96.09	2818324
GCF_000532675.1	0.39	98.87	2885015
GCF_000532695.1	0.51	98.08	2896372
GCF_000532715.1	0.39	98.64	2887221
GCF_000362865.1	0.39	98.8	2846099
GCF_000532735.1	0.33	98.14	2876869
GCF_000532755.1	0.33	98.14	2919806
GCF_000362885.1	0.33	98.47	2861326
GCF_000362905.1	0.39	98.87	2898612
GCF_000532775.1	1.39	98.55	2876432
GCF_000532795.1	1.67	98.16	2856291
GCF_000532815.1	0.39	98.75	2947166
GCF_000532835.1	0.39	97.8	2973675
GCF_000532855.1	0.8	98.75	2865354
GCF_000362925.1	0.42	97.4	2888041
GCF_000364085.1	0.33	98.55	2873411
GCF_000532875.1	1.15	98.16	2898883
GCF_000532895.1	0.33	98.75	2876516
GCF_000362945.1	0.33	98.04	2865564
GCF_000362965.1	0.39	98.23	2940354
GCF_000362985.1	0.33	97.97	2854793
GCF_000363005.1	0.69	98.48	2793375
GCF_000363025.1	0.39	98.4	2952970
GCF_000363045.1	0.42	98.75	2876093
GCF_000364105.1	0.39	98.79	2836019
GCF_000363065.1	0.33	98.16	2841363
GCF_000532915.1	0.33	98.21	2895399
GCF_000363085.1	0.39	98.82	2959616
GCF_000363105.1	0.4	98.21	2857414
GCF_000363125.1	0.39	98.87	2910826
GCF_000363145.1	0.39	98.87	2944157
GCF_000363165.1	0.68	96.73	2803124
GCF_000363185.1	0.5	98.55	2843681
GCF_000363205.1	0.42	98.57	2886029
GCF_000363225.1	0.33	97.97	2861322
GCF_000363245.1	0.39	98.87	2857462
GCF_000532935.1	0.94	98.75	2896654
GCF_000363265.1	0.48	98.12	2868999
GCF_000532955.1	0.39	97.21	2968304
GCF_000532975.1	0.39	98.28	2954675
GCF_000532995.1	0.98	98.75	2864824
GCF_000363285.1	0.39	98.62	2897073
GCF_000363305.1	0.62	97.54	2831761
GCF_000363325.1	0.33	98.55	2842152
GCF_000363345.1	0.33	98.49	2951747
GCF_000363365.1	0.33	98.21	2852986
GCF_000536035.1	0.39	98.08	2850136
GCF_000533015.1	1.12	98.29	2889948
GCF_000536055.1	0.39	98.62	2894834
GCF_000533035.1	0.45	97.8	2972923
GCF_000536075.1	0.39	97.7	2854908
GCF_000536095.1	0.42	97.67	2895292
GCF_000363385.1	0.33	98.21	2892583
GCF_000536115.1	0.39	98.08	2855602
GCF_000363405.1	0.39	98.63	2906449
GCF_000535855.1	0.92	97.67	2881348
GCF_000363425.1	0.39	98.87	2913034
GCF_000363445.1	0.39	98.63	2850448
GCF_000532435.1	0.51	98.35	2923852
GCF_000532455.1	0.82	98.87	2901466
GCF_000535875.1	0.33	97.87	2858904
GCF_000532475.1	0.33	98.55	2867769
GCF_000535895.1	0.48	98.55	2862923
GCF_000535915.1	0.33	98.55	2858156
GCF_000535935.1	0.39	98.75	2874875
GCF_000532495.1	0.64	98.87	2880457
GCF_000363465.1	0.33	98.44	2838332
GCF_000532515.1	0.33	97.97	2871874
GCF_000535955.1	0.62	98.72	2889965
GCF_000363485.1	1.04	97.87	2873233
GCF_000364125.1	1.09	97.31	2835415
GCF_000535975.1	0.39	98.87	2884613
GCF_000532535.1	0.33	98.44	2939265
GCF_000532555.1	0.51	98.35	2927531
GCF_000532575.1	0.68	98.87	2917328
GCF_000532595.1	0.39	98.28	2985109
GCF_000532615.1	0.61	98.69	2941773
GCF_000363505.1	0.33	98.55	2867063
GCF_000363525.1	0.33	97.87	2900366
GCF_000363545.1	0.51	98.35	2937962
GCF_000363565.1	1.02	98.63	2875053
GCF_000364145.1	0.39	98.28	2967356
GCF_000535995.1	2.68	97.87	2900535
GCF_000536015.1	0.33	97.87	2857153
GCF_000533055.1	0.33	98.55	2890574
GCF_000533075.1	0.39	98.25	2946124
GCF_000533095.1	0.78	98.84	2867783
GCF_000363585.1	0.33	98.21	2868095
GCF_000533115.1	0.39	98.28	2887018
GCF_000533135.1	0.33	98.55	2870875
GCF_000536135.1	0.72	98.24	2899820
GCF_000533155.1	0.92	98.44	2848933
GCF_000536155.1	0.39	98.05	2842973
GCF_000533175.1	0.33	98.16	2854177
GCF_000533195.1	2.15	98.7	2899032
GCF_000536175.1	6.98	97.96	2959506
GCF_000536195.1	0.53	98.16	2824848
GCF_000363605.1	0.39	98.75	2929393
GCF_000363625.1	0.39	98.87	2846176
GCF_000363645.1	0.39	98.28	2918168
GCF_000536215.1	1.27	97.87	2862113
GCF_000536235.1	0.39	98.11	2850089
GCF_000363665.1	0.42	98.87	2835648
GCF_000363685.1	0.33	98.55	2839850
GCF_000536255.1	0.33	98.55	2838998
GCF_000536275.1	0.43	98.16	2833792
GCF_000536295.1	0.33	97.8	2840480
GCF_000363705.1	0.33	98.55	2917890
GCF_000536315.1	0.84	97.87	2837476
GCF_000536335.1	0.56	98.11	2830037
GCF_000536355.1	0.87	98.28	2897360
GCF_000536375.1	0.33	98.53	2863207
GCF_000536395.1	2.1	98.28	2910135
GCF_000363725.1	0.65	98.7	2895270
GCF_000536415.1	0.36	97.9	2888794
GCF_000535775.1	0.39	98.28	2861867
GCF_000363745.1	1.01	98.87	2863980
GCF_000363765.1	0.39	98.13	2872733
GCF_000363785.1	0.41	98.85	2917816
GCF_000535795.1	0.33	98.68	2860872
GCF_000307695.1	3.28	95.63	2902463
GCA_000568135.1	0.19	84.34	2752244
GCA_000512505.1	0.13	80.93	2783966
GCA_000512525.1	0.51	87.02	2834436
GCA_000512545.1	0.3	90.74	2852107
GCF_000308915.1	0.4	98.26	2886833
GCA_000189435.3	0.78	97.7	2766441
GCF_000189455.2	1.3	98.04	2791410
GCF_000536735.1	0.41	98.56	2945449
GCF_000536695.1	0.58	97.72	2938162
GCF_000536515.1	0.39	97.99	2894834
GCF_000308895.1	0.54	98.32	2827649
GCA_000312965.1	0.36	86.99	2956301
GCA_000312985.1	0.41	89.32	3019328
GCA_000313025.1	1.86	89.76	2851702
GCA_000313005.1	0.48	90.06	3000990
GCF_000009005.1	0.39	97.64	2742531
GCA_900660205.1	0.37	7.8	2743673
GCA_900660245.1	0.29	8.63	2764380
GCA_900660255.1	0.12	7.33	2762095
GCF_000455725.2	0.39	98.69	2810905
GCF_000443125.1	0.39	98.7	2742738
GCF_000443265.1	1.17	98.11	2700799
GCF_000443245.1	0.49	98.78	2783607
GCF_000530855.1	0.74	98.48	2748807
GCF_000443285.1	0.39	98.56	2685142
GCF_000442355.1	0.39	98.8	2961555
GCF_000421995.1	0.58	98.49	2851130
GCF_000536495.1	0.39	98.07	2901423
GCA_000588835.1	0.35	85.27	2604446
GCF_000390205.1	1.31	98.59	2865757
GCF_000401435.1	1.37	98.26	2824513
GCF_000401575.1	0.87	98.75	2756365
GCF_000401595.1	0.39	98.58	2772919
GCF_000259715.1	0.34	98.8	2761398
GCF_000239235.1	0.88	98.87	2868863
GCF_000336335.1	0.44	98.83	2776484
GCA_001639795.1			2551190
GCF_000401455.1	0.58	97.82	2745390
GCF_000174955.1	0.42	97.9	2825358
GCF_000205365.1	0.39	95.47	2690465
GCF_000239635.1	0.56	98.77	2975585
GCF_000205345.1	0.39	98.45	2782601
GCF_000205385.1	0.39	96.36	2735354
GCF_000239535.1	1.61	94.26	2708046
GCF_000221845.1	0.68	98.63	2819236
GCF_000332685.1	0.58	98.72	2799321
GCF_000221825.1	0.62	97.96	2674346
GCF_000221805.1	0.39	97.28	2748035
GCF_000239655.1	0.58	97.4	2775807
GCF_000239675.1	0.69	97.76	2885309
GCF_000239615.1	0.39	97.99	2758530
GCF_000221725.1	1.17	95.61	2797424
GCF_000332665.1	0.4	98.66	2745204
GCF_000242475.1	0.47	97.24	2777170
GCA_000221785.2	0.39	93.23	2697903
GCF_000242495.1	0.39	96.84	2783499
GCF_000242515.1	0.72	97.46	2843563
GCA_000221765.2	0.34	95.03	2712127
GCF_000221745.1	0.49	95.11	2810524
GCF_000242535.1	0.39	98.08	2755879
GCF_000330685.1	0.39	98.68	2826226
GCF_000242555.1	0.7	98.75	2823252
GCF_000215405.1	0.34	97.07	2800723
GCF_000215425.1	0.45	97.92	2766010
GCA_000215445.2	0.35	92.78	2758144
GCF_000239555.1	0.39	98.87	2665322
GCF_000242575.1	0.76	98.52	2791149
GCF_000239575.1	0.39	98.37	2773658
GCF_000239595.1	0.39	98.72	2803858
GCF_000245575.1	0.68	96.65	2815489
GCF_000245595.1	0.45	98.61	2819942
GCF_000245615.1	0.68	98.03	2774880
GCF_000534855.1	0.62	98.4	2808012
GCF_000534835.1	0.62	98.34	2762484
GCF_000336275.1	0.34	98.87	2761324
GCF_000336315.1	0.34	98.83	2763653
GCF_000160335.2	0.57	96.56	2777368
GCF_000162815.1	0.57	98.27	2828372
GCF_000160355.1	0.6	98.01	2809741
GCF_000160375.1	0.57	97.68	2805834
GCF_000462955.1	0.39	96.4	2736560
GCF_000258685.1	0.39	97.16	2715000
GCF_000163335.1	0.68	97.32	2819319
GCA_000572225.1	0.62	86.72	2976587
GCA_000572245.1	0.24	80.82	2909029
GCF_000164715.1	0.34	97.95	2778579
GCF_000146385.1	0.41	98	2934515
GCF_000162835.1	0.72	97.92	2799248
GCF_000162595.1	0.57	98.37	2806194
GCF_000162855.1	0.68	96.73	2843444
GCF_000162615.1	0.72	96.57	2891845
GCF_000403115.1	0.39	98.73	2818679
GCF_000193835.1	0.68	96.03	2781527
GCF_000193855.1	0.46	97.63	2857982
GCF_000193875.1	0.33	98.38	2830354
GCF_000248475.1	0.39	98.23	2968765
GCF_000248695.1	0.42	98.57	2908169
GCF_000248495.1	0.51	97.72	2939208
GCF_000248715.1	1.27	98.74	2816236
GCF_000248515.1	0.36	97.84	2940706
GCF_000248735.1	0.68	97.22	3025531
GCF_000248755.1	0.39	98.73	2936197
GCF_000248535.1	0.68	97.42	3027776
GCF_000248775.1	0.75	97.38	2983692
GCF_000248555.2	1.01	97.42	3017437
GCF_000248875.1	0.71	97.09	3004248
GCF_000248895.1	0.68	97.42	2938720
GCF_000248575.1	0.68	97.42	3069467
GCF_000248915.1	0.62	98.13	2751482
GCF_000248595.1	0.71	97.38	2974437
GCF_000248795.1	0.57	97.51	2959192
GCF_000248615.1	2.94	97.96	2975153
GCF_000248635.1	0.39	98.87	2855112
GCF_000248815.1	0.51	96.77	2937359
GCF_000248655.1	0.39	98.72	2830474
GCF_000248835.1	0.39	98.33	2966700
GCF_000248855.1	3.95	97.37	2904780
GCF_000248675.1	0.45	97.15	2882216
GCF_000249015.1	0.39	98.42	2899532
GCF_000248935.1	0.39	98.87	2785207
GCF_000248955.1	0.75	97.22	3054526
GCF_000248975.1	0.34	98.38	2808663
GCF_000248995.1	0.39	98.82	2930253
GCF_000249035.1	0.39	98.78	2680536
GCF_000294385.2	0.51	98.6	2833137
GCF_000463055.1	0.39	98.43	2757070
GCF_000463035.1	0.34	98.15	2787327
GCF_000258475.1	0.39	95.19	2902775
GCF_000012045.1	0.39	97.64	2813862
GCF_000162635.1	0.83	96.51	2829512
GCF_000252405.1	0.39	98.7	2725515
GCF_000330825.2	0.54	98.61	2756322
GCF_000160395.1	0.57	97.38	2838772
GCF_000253135.1	0.39	98.87	2759052
GCF_000210315.1	0.39	98.78	2832478
GCF_000024585.1	0.68	98.52	2847542
GCF_000163575.1	0.68	97.4	2902614
GCF_000280745.1	0.39	98.12	2801945
GCF_000162655.1	0.33	96.12	2807924
GCF_000409145.1	0.39	98.51	2844315
GCF_000284535.1	0.39	98.82	2832299
GCF_000247375.1	0.6	96.9	2775462
GCF_000247395.1	0.55	95.51	2935250
GCF_000247415.1	0.61	97.09	2808298
GCA_000259995.1	0.27	92.92	3001082
GCF_000260015.1	1	96.49	2973980
GCF_000260035.1	1.95	95.93	2793782
GCA_000260055.1	0.34	92.99	3105778
GCA_000247255.2	0.34	92.91	2878897
GCF_000247275.1	0.39	97.14	2896386
GCA_000247315.2	0.34	93.2	2767453
GCF_000247355.1	0.39	95.18	2874171
GCA_000247335.2	0.25	92.96	2891989
GCA_000247295.2	0.39	94.6	2910585
GCF_000257985.1	0.36	95.53	2811317
GCA_001312225.1	0.05	45.36	2677311
GCA_001310915.1	0.54	91.41	2755620
GCF_000017125.1			2936936
GCF_000016805.1	0.39	98.79	2937129
GCF_000144955.1			2832165
GCF_000507725.1	0.39	98.85	2711763
GCF_000507705.1	0.39	98.09	2783520
GCF_000261165.1	0.62	98.41	2793131
GCF_000237265.1	0.39	98.82	2753827
GCF_000237125.2	0.54	98.12	2816697
GCF_000162675.1	0.57	98.3	2785837
GCF_000162795.1	0.57	97.59	2798364
GCF_000160415.1	0.57	98.44	2791311
GCF_000162695.1	0.57	98.42	2787974
GCF_000160195.1	0.68	97.78	2899588
GCF_000176195.1	0.39	98.17	2808969
GCF_000401475.1	0.47	98.73	3003332
GCF_000187145.1	0.39	98.47	2817572
GCF_000187165.1	0.39	98.28	2826042
GCF_000011505.1	0.68	97.4	2902619
GCF_000011525.1	0.39	98.13	2820454
GCF_000010445.1	0.39	97.43	2880168
GCF_000009665.1	0.39	98.01	2903636
GCF_000180095.1	0.39	98.13	2878428
GCF_000011265.1	0.39	98.72	2820462
GCF_000009645.1	0.39	98.87	2839469
GCF_000013425.1	0.39	97.59	2821361
GCF_000284895.1	0.39	98.45	2822241
GCF_000409165.1	0.78	97.71	2808519
GCA_000452885.1	0.63	90.6	2781079
GCF_000496095.1	0.39	97.32	2945514
GCF_000212435.1	0.41	98.55	2663395
GCF_000530215.1	3.57	95.8	2833454
GCF_000403685.1	0.87	97.9	2738393
GCF_000470865.1	0.39	98.69	2728308
GCF_000470845.1	0.39	98.71	2789538
GCA_000564875.1	0.78	90.15	2775894
GCF_000382965.1	0.39	98.13	2790688
GCF_000382985.1	0.39	97.93	2796742
GCF_000383005.1	0.39	97.93	2783086
GCF_000009585.1	0.39	98.2	2885367
GCF_000516935.1	0.34	98.87	2741418
GCA_000180395.1	0.45	93.54	2829971
GCF_000145595.1	0.45	98.01	2924344
GCF_000172855.1	0.47	98.03	2819448
GCF_000276625.1	0.39	97.67	2790393
GCF_000010465.1	0.39	98.75	2878897
GCF_000204665.1	0.39	98.82	2913900
GCF_000452385.2	0.92	94.23	2820837
GCF_000159555.1	1.67	98.55	2779997
GCF_000159535.2	0.57	97.36	2827166
GCF_000149015.1	0.39	98.67	2818925
GCF_000027045.1	0.39	98.77	3075806
GCF_000013465.1	0.39	98.56	2917469
GCF_000017085.1	0.39	97.99	2903081
GCF_000153665.1	0.43	98.44	2845480
GCF_000245495.1	0.39	98.28	2692570
GCF_000260315.1	0.28	97.3	2679285
GCF_000336295.1	0.44	98.87	2769926
GCF_000262815.1	0.75	98.81	2922609
GCF_000262995.1	0.7	98.52	3013275
GCF_000263015.1	0.8	98.17	2985100
GCF_000263035.1	0.8	98.21	2986927
GCF_000262835.1	0.93	98.68	2973853
GCF_000262855.1	0.96	98.28	2890074
GCF_000262875.1	0.71	98.54	2859195
GCF_000262895.1	0.7	98.85	2919993
GCF_000262915.1	0.88	98.52	2908442
GCF_000262935.1	1.01	98.83	3089104
GCF_000262955.1	0.72	98.45	2932690
GCF_000262975.1	0.47	98.5	2914280
GCF_000162715.1	0.54	98.35	2800799
GCF_000162735.1	0.73	97.16	2804748
GCF_000485885.1	0.39	98.2	3018303
GCF_000536555.1	0.39	97.94	2965437
GCF_000364485.1	0.39	98.41	2748523
GCF_000536535.1	0.39	97.16	2931883
GCF_000536655.1	0.39	97.99	2967942
GCF_000536615.1	0.39	97.99	2915914
GCF_000537315.1	0.39	98.53	2906198
GCF_000537275.1	0.39	97.4	2906861
GCF_000539215.1	0.45	98.75	2893945
GCF_000542175.1	0.58	98.67	2910848
GCF_000539395.1	0.39	97.84	2896250
GCF_000539415.1	0.39	97.92	2939989
GCF_000539435.1	0.39	98.83	2870449
GCF_000539475.1	0.39	97.99	2927574
GCF_000539455.1	0.39	97.99	2919419
GCF_000539915.1	0.39	98.87	2888973
GCF_000539855.1	0.39	98.57	2851785
GCF_000539835.1	0.58	98.55	2915053
GCF_000539815.1	0.39	97.99	2917694
GCF_000537995.1	0.39	97.99	2884701
GCF_000537835.1	0.39	98.63	2844266
GCF_000538035.1	0.39	97.99	2920430
GCF_000538155.1	0.39	98.43	2844838
GCF_000538535.1	0.39	98.87	2893295
GCF_000538975.1	0.39	97.99	2945309
GCF_000538995.1	0.39	97.99	2887463
GCF_000539015.1	0.39	97.94	2900385
GCF_000537455.1	0.39	98.09	2827975
GCF_000539035.1	0.45	98.23	2969168
GCF_000539055.1	0.39	97.93	2884951
GCF_000541455.1	0.45	98.72	2882900
GCF_000541595.1	0.39	98.67	2847744
GCF_000541735.1	0.39	98.67	2880884
GCF_000543305.1	0.39	97.99	2897439
GCF_000542945.1	0.39	97.99	2898938
GCF_000538075.1	0.39	98.84	2740540
GCF_000542965.1	0.45	98.67	2821035
GCF_000537535.1	0.39	97.99	2932536
GCF_000538675.1	1.27	98.72	2814930
GCF_000537375.1	0.39	97.99	2895010
GCF_000537355.1	0.39	98.61	2893863
GCF_000540635.1	0.39	98.58	2730192
GCF_000537815.1	0.39	97.99	2898560
GCF_000538695.1	0.39	97.99	2899683
GCF_000537515.1	0.39	97.99	2899253
GCF_000540195.1	0.39	97.99	2943449
GCF_000540835.1	0.39	97.92	2939756
GCF_000540895.1	0.58	98.83	2868883
GCF_000541075.1	0.39	97.99	2931921
GCF_000541135.1	0.39	97.92	2896902
GCF_000541115.1	0.39	98.72	2874049
GCF_000542095.1	0.39	97.92	2978463
GCF_000536875.1	0.39	97.94	2895191
GCF_000542785.1	0.39	97.99	2886611
GCF_000542805.1	0.39	97.97	2896609
GCF_000540395.1	0.39	97.99	2893749
GCF_000537435.1	0.39	98.67	2927864
GCF_000539175.1	0.47	98.77	3012614
GCF_000540735.1	0.58	98.46	2928746
GCF_000541635.1	0.39	98.75	2880579
GCF_000541775.1	0.39	97.99	2899496
GCF_000542255.1	0.58	98.55	2915537
GCF_000541995.1	0.39	97.99	2902474
GCF_000542015.1	0.39	97.87	2890549
GCF_000536915.1	0.39	97.99	2979073
GCF_000543265.1	0.39	97.99	2946036
GCF_000542725.1	0.45	98.19	2874252
GCF_000542745.1	0.41	97.96	2928951
GCF_000542825.1	0.39	97.99	2924650
GCF_000540175.1	0.39	98.83	2926413
GCF_000537875.1	0.39	97.99	2940085
GCF_000538055.1	0.39	98.83	2944954
GCF_000542075.1	0.39	97.4	2899876
GCF_000542275.1	0.45	98.67	2896061
GCF_000542515.1	0.53	98.67	2934305
GCF_000542635.1	0.39	97.99	2897063
GCF_000542905.1	0.39	97.4	2885568
GCF_000543205.1	0.39	98.51	2853595
GCF_000541195.1	0.39	97.95	2949227
GCF_000543245.1	0.39	98.87	2936552
GCF_000539895.1	0.39	97.92	2881503
GCF_000542985.1	0.39	97.79	2856097
GCF_000543025.1	0.58	98.62	2933275
GCF_000538235.1	0.39	98.6	2871885
GCF_000539375.1	0.39	98.45	2874299
GCF_000539735.1	0.39	97.92	2935973
GCF_000540155.1	0.39	98.67	2887843
GCF_000537255.1	0.43	98.67	2895183
GCF_000537215.1	0.43	98.67	2915975
GCF_000538355.1	0.41	98.72	2965668
GCF_000538375.1	0.58	98.48	2931430
GCF_000537655.1	0.39	97.69	2897661
GCF_000538615.1	0.39	98.46	2889764
GCF_000539255.1	0.47	97.99	2962805
GCF_000540755.1	0.39	98.67	2879479
GCF_000541175.1	0.39	98.75	2891946
GCF_000537095.1	0.39	97.94	2888345
GCF_000536995.1	0.41	97.82	2932748
GCF_000541515.1	0.33	98.16	2930061
GCF_000541555.1	0.39	98.67	2862599
GCF_000540075.1	0.39	98.67	2875113
GCF_000540095.1	0.39	98.48	2930704
GCF_000540215.1	0.41	97.99	2923431
GCF_000540355.1	0.41	98	2884267
GCF_000540715.1	0.58	98.46	2936608
GCF_000541475.1	0.39	98.53	2890894
GCF_000541495.1	0.33	98.55	2854814
GCF_000541675.1	1.57	98.26	2961249
GCF_000541955.1	0.58	98.67	2908250
GCF_000542375.1	0.39	98.84	2941773
GCF_000543325.1	0.39	98.87	2891786
GCF_000543345.1	0.47	98.77	3029535
GCF_000543045.1	0.7	97.18	2898765
GCF_000543065.1	0.58	98.67	2938369
GCF_000543125.1	0.68	97.18	2901796
GCF_000539515.1	0.39	97.54	2892189
GCF_000539755.1	0.39	98.63	2924884
GCF_000539775.1	0.39	98.77	3021274
GCF_000539795.1	0.39	97.99	2919726
GCF_000537415.1	0.41	98.87	2923292
GCF_000537955.1	0.39	97.99	2926020
GCF_000537715.1	0.39	97.99	2904509
GCF_000539095.1	0.45	98.38	2899500
GCF_000539115.1	0.41	97.99	2923495
GCF_000539235.1	0.39	97.2	2796231
GCF_000537015.1	0.39	97.99	2899971
GCF_000541715.1	0.39	98.65	2796227
GCF_000541795.1	0.65	98.67	2848910
GCF_000536935.1	0.39	97.99	2938007
GCF_000542415.1	0.39	98.62	2856008
GCF_000542655.1	0.41	97.88	2961309
GCF_000539935.1	0.39	97.96	2901649
GCF_000540475.1	0.41	97.99	2929880
GCF_000538875.1	0.39	97.99	2881982
GCF_000550845.1	0.39	98.51	2864123
GCF_000550865.1	0.98	98.13	2866552
GCF_000550885.1	0.51	98.43	2880015
GCF_000550905.1	0.39	98.43	2887815
GCF_000550925.1	0.39	98.28	2884308
GCF_000550945.1	1.14	98.28	2902081
GCF_000550965.1	0.68	98.28	2874197
GCF_000550985.1	0.39	98.33	2866605
GCF_000551005.1	1.27	98.28	2912212
GCF_000551025.1	1.1	98.08	2907564
GCF_000551045.1	0.74	98.25	2862697
GCF_000551065.1	0.39	98.51	2862604
GCF_000551085.1	1.69	98.28	2907193
GCF_000551105.1	0.39	98.28	2902396
GCF_000551125.1	1.02	98.28	2880745
GCF_000551145.1	0.39	98.52	2864201
GCF_000551185.1	1.51	98.23	2912115
GCF_000551205.1	1.29	97.94	2901605
GCF_000551225.1	1.6	98.35	2916322
GCF_000551245.1	0.42	98.84	2843116
GCF_000551265.1	0.39	98.82	2875719
GCF_000551285.1	0.91	98.26	2914386
GCF_000551305.1	0.47	98.57	2777367
GCF_000551325.1	1.04	98.23	2885636
GCF_000551345.1	0.97	98.04	2900892
GCF_000551365.1	2.42	98.01	2873119
GCF_000551385.1	1.88	98.28	2899354
GCF_000551405.1	1.48	98	2921144
GCF_000551425.1	1.09	98.08	2897998
GCF_000551445.1	1.39	98.84	2854346
GCF_000551465.1	1.36	98.28	2919012
GCF_000551485.1	0.41	98.11	2866681
GCF_000551505.1	1.28	98.13	2897480
GCF_000551525.1	0.98	98.84	2904635
GCF_000551545.1	0.39	98.28	2898260
GCF_000551565.1	0.74	98.13	2870674
GCF_000551585.1	0.98	98.81	2901524
GCF_000551605.1	0.39	98.28	2901553
GCF_000551625.1	0.98	98.13	2861188
GCF_000551645.1	0.74	98.82	2869113
GCF_000551665.1	0.43	98.28	2898101
GCF_000551685.1	0.39	98.28	2935549
GCF_000551705.1	0.74	98.28	2930111
GCF_000551725.1	0.42	98.12	2842911
GCF_000551745.1	0.67	98.55	2859628
GCF_000551765.1	0.33	98.55	2879572
GCF_000551785.1	0.33	98.55	2875786
GCF_000551805.1	0.51	98.37	2924864
GCF_000551825.1	0.39	98.28	2935526
GCF_000551845.1	1.67	97.75	2977950
GCF_000551865.1	0.74	98.24	2930787
GCF_000551885.1	0.33	98.55	2877990
GCF_000551905.1	0.49	98.87	2962828
GCF_000551925.1	1.28	98.22	2957454
GCF_000551945.1	0.33	98.55	2837118
GCF_000551965.1	0.39	98.72	2800637
GCF_000551985.1	0.39	98.8	2864940
GCF_000552005.1	0.33	98.55	2877010
GCF_000552025.1	0.33	98.55	2876201
GCF_000552045.1	0.33	98.55	2876039
GCF_000552065.1	0.54	98.37	2902700
GCF_000552085.1	1.12	98.24	2939659
GCF_000552105.1	0.35	98.55	2856355
GCF_000552125.1	0.51	98.37	2921189
GCF_000552145.1	0.44	98.37	2893885
GCF_000552165.1	0.51	98.37	2918355
GCF_000552185.1	0.51	98.37	2918743
GCF_000552205.1	0.33	98.55	2871941
GCF_000552225.1	0.51	98.37	2921934
GCF_000552245.1	0.39	98.28	2931299
GCF_000552265.1	0.39	98.28	2894958
GCF_000552285.1	0.39	98.87	2922893
GCF_000552305.1	0.33	98.55	2858154
GCF_000552325.1	0.62	98.55	2835811
GCF_000552345.1	0.39	98.72	2844237
GCF_000552365.1	0.39	98.28	2910576
GCF_000552385.1	0.45	98.28	2905159
GCF_000552405.1	0.51	98.43	2893029
GCF_000552425.1	0.33	98.55	2876863
GCF_000552445.1	2.39	98.26	2911727
GCF_000552465.1	0.39	98.28	2878973
GCF_000552485.1	0.76	98.28	2889881
GCF_000552505.1	1.07	98.23	2927852
GCF_000552535.1	0.39	98.87	2860961
GCF_000552565.1	0.35	98.81	2884120
GCF_000552585.1	1.01	98.15	2885396
GCF_000552605.1	0.39	98.52	2853653
GCF_000552625.1	0.76	98.21	2890847
GCF_000552645.1	0.6	98.51	2879872
GCF_000552665.1	1.32	98.72	2808521
GCF_000552685.1	1.05	98.52	2855118
GCF_000552705.1	1.14	98.13	2877685
GCF_000552725.1	0.98	98.13	2863481
GCF_000552745.1	0.49	97.99	2911571
GCF_000552765.1	0.42	98.87	2866402
GCF_000552785.1	1.06	98.87	2841925
GCF_000552805.1	0.39	98.52	2847706
GCF_000552825.1	1.41	98.52	2867479
GCF_000552845.1	0.43	98.33	2884492
GCF_000552865.1	0.43	98.2	2916338
GCF_000552885.1	1.95	98.28	2889517
GCF_000552905.1	0.49	98.87	2930891
GCF_000552925.1	0.33	98.55	2868157
GCF_000552945.1	0.33	98.45	2862440
GCF_000552965.1	1.88	98.26	2892422
GCF_000552985.1	0.68	98.28	2912237
GCF_000553005.1	0.49	97.99	2935059
GCF_000553025.1	0.39	98.28	2892154
GCF_000553045.1	0.49	98.87	2853664
GCF_000553065.1	0.39	98.28	2888256
GCF_000553085.1	1.38	98.21	2894795
GCF_000553105.1	2.15	98.28	2903808
GCF_000553125.1	0.61	98.81	2879535
GCF_000553145.1	0.4	98.26	2886642
GCF_000553165.1	0.9	98.26	2883549
GCF_000553185.1	0.86	98.28	2928178
GCF_000553205.1	0.64	98.8	2880568
GCF_000553225.1	0.33	98.55	2867650
GCF_000553245.1	0.39	98.11	2866381
GCF_000553265.1	1.18	98.28	2900451
GCF_000553285.1	0.33	98.55	2873046
GCF_000553305.1	0.39	98.8	2848982
GCF_000553325.1	0.39	98.43	2883704
GCF_000553345.1	1.36	98.83	2866102
GCF_000553365.1	0.39	98.24	2891128
GCF_000553385.1	0.35	98.55	2854128
GCF_000553405.1	0.68	98.03	2898336
GCF_000553425.1	0.39	98.11	2930997
GCF_000553445.1	1.03	98.87	2915570
GCF_000553465.1	0.39	98.87	2863485
GCF_000553485.1	0.49	98.87	2856253
GCF_000553505.1	0.4	98.55	2815207
GCF_000553525.1	1.07	99.07	2912381
GCF_000553545.1	0.39	98.78	2915905
GCF_000553575.1	1.13	98.87	2913027
GCF_000553595.1	1.17	98.13	2878944
GCF_000553615.1	0.33	98.55	2871605
GCF_000553635.1	0.33	98.55	2859450
GCF_000553655.1	0.38	98.55	2855771
GCF_000553675.1	1.09	98.87	2919370
GCF_000553695.1	0.33	98.55	2853306
GCF_000553715.1	0.33	98.21	2867443
GCF_000553735.1	0.39	98.28	2888915
GCF_000553755.1	0.59	98.87	2877178
GCF_000553775.1	0.66	98.87	2862224
GCF_000553795.1	0.39	98.55	2884536
GCF_000553815.1	1.43	98.55	2890467
GCF_000553835.1	0.48	98.26	2869188
